date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:25	25156/25156	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202019%2008:26:28%20GMT	https://preview.colorlib.com/theme/vegefoods/index.html	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/index.html	(from )
11:49:25	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
11:49:25	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%2224fb-58e7d2f597000-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/open-iconic-bootstrap.min.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/open-iconic-bootstrap.min.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
11:49:26	73641/73641	---MCZ	200	added ('OK')	text/css	etag:W/%2211fa9-58e7d2f0d24c0-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/animate.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/animate.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
11:49:26	3440/3440	---MCZ	200	added ('OK')	text/css	etag:W/%22d70-58e7d2f597000-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/owl.carousel.min.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
11:49:27	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%223c5-58e7d2f68b240-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
11:49:27	6950/6950	---MCZ	200	added ('OK')	text/css	etag:W/%221b26-58e7d2f4a2dc0-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/magnific-popup.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/magnific-popup.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
11:49:27	25983/25983	---MCZ	200	added ('OK')	text/css	etag:W/%22657f-58e7d2f0d24c0-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/aos.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/aos.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
11:49:28	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%22b6e0-58e7d2f3aeb80-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/ionicons.min.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/ionicons.min.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
11:49:28	17945/17945	---MCZ	200	added ('OK')	text/css	etag:W/%224619-58e7d2f1c6700-gzip%22	https://preview.colorlib.com/theme/vegefoods/css/bootstrap-datepicker.css	C:/My%20Web%20Sites/Kare%20-%20Template/preview.colorlib.com/theme/vegefoods/css/bootstrap-datepicker.css	(from https://preview.colorlib.com/theme/vegefoods/index.html)
